Sequence,Unit Name,Contains,Reference Unit
0,ms,0.001,s
0,dm²,0.001,m²
0,in²,0.00064516,m²
0,gal (UK),0.00454609,m³
0,mL,0.001,L
1,cL,0.01,L
1,cm,0.01,m
9,ft²,0.092903,m²
10,dL,0.1,L
15,bbl,0.158987,m³
30,ft,0.3048,m
76,yd³,0.764555,m³
83,yd²,0.836127,m²
100,gal (US),0.00378541,m³
100,ft³,0.0283168,m³
100,dm³ / L,0.001,m³
100,Kg,1000.0,g
100,s,1.0,
100,m²,1.0,
100,m³,1.0,
100,L,1.0,
100,g,1.0,
100,m,1.0,
100,unit,1.0,
100,pc,1.0,
100,box,1.0,
100,set,1.0,
200,pair,2.0,unit
220,lb,2.20462,Kg
600,pack of 6,6.0,unit
1000,min,60.0,s
1000,h,3600.0,s
1000,d,86400.0,s
1000,wk,604800.0,s
1000,mo,2592000.0,s
1000,yr,31536000.0,s
1000,a,100.0,m²
1000,ha,10000.0,m²
1000,ac,4046.856,m²
1000,km²,1000000.0,m²
1000,daL,10.0,L
1000,hL,100.0,L
1000,kL,1000.0,L
1000,ML,1000000.0,L
1000,GL,1000000000.0,L
1000,ng,1000000000000.0,Kg
1000,µg,1000000000.0,Kg
1000,mg,1000000.0,Kg
1000,oz,35.27396,Kg
1000,t,1000.0,Kg
1000,nm,1000000000.0,m
1000,µm,1000000.0,m
1000,dam,10.0,m
1000,hm,100.0,m
1000,km,1000.0,m
1000,mm,0.001,m
1000,dz,12.0,unit
1000,scr,20.0,unit
1000,gr,144.0,unit
1000,Pack of 10,10.0,unit
1000,Pack of 12,12.0,unit
